title, launching_year, personal_rating
Superman, 2025, 9
The Fantastic 4: First Steps, 2025, 7
A Walk in the Woods, 2015, 7
Million Dollar Baby, 2004, 9
American Fiction, 2023, 9
The Apprentice, 2024, 8.8
Of Mice and Men, 1992, 7.5
Conclave, 2024, 8.9
Green Book, 2018, 9
American Sniper, 2014, 8.7
Scent of a Woman, 1992, 8
A Beautiful Mind, 2001, 8
Big, 1988, 8.8
The Company Men, 2010, 7
Good Will Hunting, 1997, 9
Life or Something like it, 2002, 7.3
The Holiday, 2006, 7.9
The Grinch, 2000, 8
Die Hard, 1988, 8.5
